[14Nov2022 00:00:10.452] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/155716, l='ServerLevel[Vault-Hunters]', x=-815.20, y=16.50, z=-370.50]
[14Nov2022 00:02:50.647] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157540, l='ServerLevel[Vault-Hunters]', x=-839.20, y=16.50, z=-369.50]
[14Nov2022 00:03:14.147] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157736, l='ServerLevel[Vault-Hunters]', x=-827.20, y=16.50, z=-369.50]
[14Nov2022 00:03:14.747] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157743, l='ServerLevel[Vault-Hunters]', x=-830.20, y=16.50, z=-373.50]
[14Nov2022 00:03:15.748] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157752, l='ServerLevel[Vault-Hunters]', x=-835.20, y=16.50, z=-371.50]
[14Nov2022 00:03:37.460] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157912, l='ServerLevel[Vault-Hunters]', x=-814.20, y=16.50, z=-370.50]
[14Nov2022 00:03:39.459] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157924, l='ServerLevel[Vault-Hunters]', x=-824.20, y=16.50, z=-370.50]
[14Nov2022 00:03:39.849] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157927, l='ServerLevel[Vault-Hunters]', x=-826.20, y=16.50, z=-373.50]
[14Nov2022 00:03:40.250] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157931, l='ServerLevel[Vault-Hunters]', x=-828.20, y=16.50, z=-369.50]
[14Nov2022 00:03:41.850] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157942, l='ServerLevel[Vault-Hunters]', x=-836.20, y=16.50, z=-373.50]
[14Nov2022 00:04:08.949] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/158150, l='ServerLevel[Vault-Hunters]', x=-842.20, y=16.50, z=-371.50]
[14Nov2022 00:04:32.454] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/158348, l='ServerLevel[Vault-Hunters]', x=-830.20, y=16.50, z=-370.50]
[14Nov2022 00:04:33.047] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/158353, l='ServerLevel[Vault-Hunters]', x=-833.20, y=16.50, z=-369.50]
[14Nov2022 00:04:34.849] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/158372, l='ServerLevel[Vault-Hunters]', x=-842.20, y=16.50, z=-373.50]
[14Nov2022 00:04:55.948] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/158549, l='ServerLevel[Vault-Hunters]', x=-818.20, y=16.50, z=-372.50]
[14Nov2022 00:04:57.949] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/158569, l='ServerLevel[Vault-Hunters]', x=-828.20, y=16.50, z=-372.50]
[14Nov2022 00:05:21.648] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/158756, l='ServerLevel[Vault-Hunters]', x=-817.20, y=16.50, z=-369.50]
[14Nov2022 00:05:23.647] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/158781, l='ServerLevel[Vault-Hunters]', x=-827.20, y=16.50, z=-369.50]
[14Nov2022 00:05:27.047] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/158822, l='ServerLevel[Vault-Hunters]', x=-844.20, y=16.50, z=-368.50]
[14Nov2022 00:05:46.747] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/158971, l='ServerLevel[Vault-Hunters]', x=-813.20, y=16.50, z=-370.50]
[14Nov2022 00:05:47.147] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/158976, l='ServerLevel[Vault-Hunters]', x=-815.20, y=16.50, z=-371.50]
[14Nov2022 00:05:48.948] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/158992, l='ServerLevel[Vault-Hunters]', x=-824.20, y=16.50, z=-372.50]
[14Nov2022 00:05:50.147] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159008, l='ServerLevel[Vault-Hunters]', x=-830.20, y=16.50, z=-373.50]
[14Nov2022 00:05:50.948] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159014, l='ServerLevel[Vault-Hunters]', x=-834.20, y=16.50, z=-372.50]
[14Nov2022 00:05:51.948] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159025, l='ServerLevel[Vault-Hunters]', x=-839.20, y=16.50, z=-369.50]
[14Nov2022 00:06:12.649] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159203, l='ServerLevel[Vault-Hunters]', x=-813.20, y=16.50, z=-373.50]
[14Nov2022 00:06:17.649] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159260, l='ServerLevel[Vault-Hunters]', x=-838.20, y=16.50, z=-370.50]
[14Nov2022 00:06:38.750] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159408, l='ServerLevel[Vault-Hunters]', x=-814.20, y=16.50, z=-371.50]
[14Nov2022 00:06:40.550] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159429, l='ServerLevel[Vault-Hunters]', x=-823.20, y=16.50, z=-368.50]
[14Nov2022 00:06:43.348] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159465, l='ServerLevel[Vault-Hunters]', x=-837.20, y=16.50, z=-372.50]
[14Nov2022 00:06:44.748] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159481, l='ServerLevel[Vault-Hunters]', x=-844.20, y=16.50, z=-371.50]
[14Nov2022 00:07:04.849] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159625, l='ServerLevel[Vault-Hunters]', x=-815.20, y=16.50, z=-372.50]
[14Nov2022 00:07:05.049] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159626, l='ServerLevel[Vault-Hunters]', x=-816.20, y=16.50, z=-370.50]
[14Nov2022 00:07:08.049] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159659, l='ServerLevel[Vault-Hunters]', x=-831.20, y=16.50, z=-369.50]
[14Nov2022 00:07:30.948] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159833, l='ServerLevel[Vault-Hunters]', x=-816.20, y=16.50, z=-368.50]
[14Nov2022 00:07:31.547] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159841, l='ServerLevel[Vault-Hunters]', x=-819.20, y=16.50, z=-371.50]
[14Nov2022 00:07:33.547] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159861, l='ServerLevel[Vault-Hunters]', x=-829.20, y=16.50, z=-371.50]
[14Nov2022 00:07:34.347] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159876, l='ServerLevel[Vault-Hunters]', x=-833.20, y=16.50, z=-373.50]
[14Nov2022 00:07:34.548] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159877, l='ServerLevel[Vault-Hunters]', x=-834.20, y=16.50, z=-370.50]
[14Nov2022 00:07:36.549] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159897, l='ServerLevel[Vault-Hunters]', x=-844.20, y=16.50, z=-368.50]
[14Nov2022 00:07:36.549] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/159898, l='ServerLevel[Vault-Hunters]', x=-844.20, y=16.50, z=-370.50]
[14Nov2022 00:07:58.048] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160053, l='ServerLevel[Vault-Hunters]', x=-822.20, y=16.50, z=-368.50]
[14Nov2022 00:07:59.453] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160065, l='ServerLevel[Vault-Hunters]', x=-829.20, y=16.50, z=-371.50]
[14Nov2022 00:08:00.847] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160090, l='ServerLevel[Vault-Hunters]', x=-836.20, y=16.50, z=-369.50]
[14Nov2022 00:08:02.047] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160106, l='ServerLevel[Vault-Hunters]', x=-842.20, y=16.50, z=-368.50]
[14Nov2022 00:08:22.546] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160267, l='ServerLevel[Vault-Hunters]', x=-815.20, y=16.50, z=-373.50]
[14Nov2022 00:08:24.148] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160284, l='ServerLevel[Vault-Hunters]', x=-823.20, y=16.50, z=-368.50]
[14Nov2022 00:08:24.548] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160288, l='ServerLevel[Vault-Hunters]', x=-825.20, y=16.50, z=-373.50]
[14Nov2022 00:08:26.149] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160310, l='ServerLevel[Vault-Hunters]', x=-833.20, y=16.50, z=-368.50]
[14Nov2022 00:08:26.349] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160312, l='ServerLevel[Vault-Hunters]', x=-834.20, y=16.50, z=-369.50]
[14Nov2022 00:08:26.549] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160315, l='ServerLevel[Vault-Hunters]', x=-835.20, y=16.50, z=-373.50]
[14Nov2022 00:08:27.947] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160341, l='ServerLevel[Vault-Hunters]', x=-842.20, y=16.50, z=-370.50]
[14Nov2022 00:08:48.249] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160499, l='ServerLevel[Vault-Hunters]', x=-814.20, y=16.50, z=-373.50]
[14Nov2022 00:08:50.249] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160514, l='ServerLevel[Vault-Hunters]', x=-824.20, y=16.50, z=-373.50]
[14Nov2022 00:08:52.050] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160533, l='ServerLevel[Vault-Hunters]', x=-833.20, y=16.50, z=-371.50]
[14Nov2022 00:08:52.250] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160536, l='ServerLevel[Vault-Hunters]', x=-834.20, y=16.50, z=-373.50]
[14Nov2022 00:08:52.460] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160538, l='ServerLevel[Vault-Hunters]', x=-835.20, y=16.50, z=-369.50]
[14Nov2022 00:08:52.850] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160543, l='ServerLevel[Vault-Hunters]', x=-837.20, y=16.50, z=-372.50]
[14Nov2022 00:08:54.249] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160568, l='ServerLevel[Vault-Hunters]', x=-844.20, y=16.50, z=-368.50]
[14Nov2022 00:09:13.951] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160726, l='ServerLevel[Vault-Hunters]', x=-813.20, y=16.50, z=-373.50]
[14Nov2022 00:09:16.151] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160740, l='ServerLevel[Vault-Hunters]', x=-824.20, y=16.50, z=-369.50]
[14Nov2022 00:09:16.548] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160743, l='ServerLevel[Vault-Hunters]', x=-826.20, y=16.50, z=-372.50]
[14Nov2022 00:09:18.151] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160759, l='ServerLevel[Vault-Hunters]', x=-834.20, y=16.50, z=-369.50]
[14Nov2022 00:09:19.748] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/160783, l='ServerLevel[Vault-Hunters]', x=-842.20, y=16.50, z=-373.50]
[14Nov2022 00:09:43.849] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161028, l='ServerLevel[Vault-Hunters]', x=-833.20, y=16.50, z=-372.50]
[14Nov2022 00:09:45.249] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161065, l='ServerLevel[Vault-Hunters]', x=-840.20, y=16.50, z=-373.50]
[14Nov2022 00:10:06.348] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161278, l='ServerLevel[Vault-Hunters]', x=-816.20, y=16.50, z=-369.50]
[14Nov2022 00:10:07.549] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161298, l='ServerLevel[Vault-Hunters]', x=-822.20, y=16.50, z=-372.50]
[14Nov2022 00:10:07.750] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161299, l='ServerLevel[Vault-Hunters]', x=-823.20, y=16.50, z=-368.50]
[14Nov2022 00:10:07.750] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161301, l='ServerLevel[Vault-Hunters]', x=-823.20, y=16.50, z=-370.50]
[14Nov2022 00:10:09.749] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161322, l='ServerLevel[Vault-Hunters]', x=-833.20, y=16.50, z=-368.50]
[14Nov2022 00:10:09.948] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161325, l='ServerLevel[Vault-Hunters]', x=-834.20, y=16.50, z=-373.50]
[14Nov2022 00:10:10.350] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161329, l='ServerLevel[Vault-Hunters]', x=-836.20, y=16.50, z=-369.50]
[14Nov2022 00:10:10.350] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161330, l='ServerLevel[Vault-Hunters]', x=-836.20, y=16.50, z=-371.50]
[14Nov2022 00:10:11.749] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161338, l='ServerLevel[Vault-Hunters]', x=-843.20, y=16.50, z=-368.50]
[14Nov2022 00:10:33.048] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161486, l='ServerLevel[Vault-Hunters]', x=-820.20, y=16.50, z=-368.50]
[14Nov2022 00:10:35.248] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161512, l='ServerLevel[Vault-Hunters]', x=-831.20, y=16.50, z=-369.50]
[14Nov2022 00:10:35.847] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161522, l='ServerLevel[Vault-Hunters]', x=-834.20, y=16.50, z=-373.50]
[14Nov2022 00:10:37.247] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161541, l='ServerLevel[Vault-Hunters]', x=-841.20, y=16.50, z=-369.50]
[14Nov2022 00:10:37.847] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161550, l='ServerLevel[Vault-Hunters]', x=-844.20, y=16.50, z=-373.50]
[14Nov2022 00:10:59.548] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161731, l='ServerLevel[Vault-Hunters]', x=-823.20, y=16.50, z=-369.50]
[14Nov2022 00:10:59.949] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161739, l='ServerLevel[Vault-Hunters]', x=-825.20, y=16.50, z=-370.50]
[14Nov2022 00:10:59.949] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161740, l='ServerLevel[Vault-Hunters]', x=-825.20, y=16.50, z=-373.50]
[14Nov2022 00:11:01.949] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161760, l='ServerLevel[Vault-Hunters]', x=-835.20, y=16.50, z=-373.50]
[14Nov2022 00:11:02.150] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161765, l='ServerLevel[Vault-Hunters]', x=-836.20, y=16.50, z=-372.50]
[14Nov2022 00:11:03.549] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161781, l='ServerLevel[Vault-Hunters]', x=-843.20, y=16.50, z=-368.50]
[14Nov2022 00:11:03.549] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161782, l='ServerLevel[Vault-Hunters]', x=-843.20, y=16.50, z=-369.50]
[14Nov2022 00:11:24.248] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161973, l='ServerLevel[Vault-Hunters]', x=-817.20, y=16.50, z=-373.50]
[14Nov2022 00:11:25.649] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/161997, l='ServerLevel[Vault-Hunters]', x=-824.20, y=16.50, z=-372.50]
[14Nov2022 00:11:26.049] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/162011, l='ServerLevel[Vault-Hunters]', x=-826.20, y=16.50, z=-371.50]
[14Nov2022 00:11:28.249] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/162030, l='ServerLevel[Vault-Hunters]', x=-837.20, y=16.50, z=-373.50]
[14Nov2022 00:11:28.649] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/162039, l='ServerLevel[Vault-Hunters]', x=-839.20, y=16.50, z=-370.50]
[14Nov2022 00:11:29.461] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/162046, l='ServerLevel[Vault-Hunters]', x=-843.20, y=16.50, z=-368.50]
[14Nov2022 00:11:49.950] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/162229, l='ServerLevel[Vault-Hunters]', x=-816.20, y=16.50, z=-371.50]
[14Nov2022 00:11:54.151] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/162270, l='ServerLevel[Vault-Hunters]', x=-837.20, y=16.50, z=-373.50]
[14Nov2022 00:11:54.750] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/162275, l='ServerLevel[Vault-Hunters]', x=-840.20, y=16.50, z=-369.50]
[14Nov2022 00:11:55.148] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/162287, l='ServerLevel[Vault-Hunters]', x=-842.20, y=16.50, z=-372.50]
[14Nov2022 00:12:15.650] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/162447, l='ServerLevel[Vault-Hunters]', x=-815.20, y=16.50, z=-373.50]
[14Nov2022 00:12:19.649] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/162501, l='ServerLevel[Vault-Hunters]', x=-835.20, y=16.50, z=-373.50]
[14Nov2022 00:12:41.749] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/162696, l='ServerLevel[Vault-Hunters]', x=-816.20, y=16.50, z=-369.50]
[14Nov2022 00:12:43.547] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/162707, l='ServerLevel[Vault-Hunters]', x=-825.20, y=16.50, z=-371.50]
[14Nov2022 00:12:45.549] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/162726, l='ServerLevel[Vault-Hunters]', x=-835.20, y=16.50, z=-371.50]
